event_id,family_id,lane_id,control_trade_id,universe_id,period_id,pair,decision_time,governor_state,horizon_hours,exit_time,entry_open,exit_open,forward_return
10581,TROUGH_RECOVERY_FAILURE,CAUTION_OR_LOCKED,316,D2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,6,2023-11-23 20:00:00+00:00,37302.8,37255.0,-0.0012814051492113787
10581,TROUGH_RECOVERY_FAILURE,CAUTION_OR_LOCKED,316,D2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,24,2023-11-24 14:00:00+00:00,37302.8,37712.4,0.010980408977342204
10581,TROUGH_RECOVERY_FAILURE,CAUTION_OR_LOCKED,316,D2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,48,2023-11-25 14:00:00+00:00,37302.8,37719.9,0.011181466270628437
10584,TROUGH_RECOVERY_FAILURE,CAUTION_OR_LOCKED,489,E2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,6,2023-11-23 20:00:00+00:00,37302.8,37255.0,-0.0012814051492113787
10584,TROUGH_RECOVERY_FAILURE,CAUTION_OR_LOCKED,489,E2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,24,2023-11-24 14:00:00+00:00,37302.8,37712.4,0.010980408977342204
10584,TROUGH_RECOVERY_FAILURE,CAUTION_OR_LOCKED,489,E2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,48,2023-11-25 14:00:00+00:00,37302.8,37719.9,0.011181466270628437
10576,TROUGH_RECOVERY_FAILURE,GLOBAL,146,C2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,6,2023-11-23 20:00:00+00:00,37302.8,37255.0,-0.0012814051492113787
10576,TROUGH_RECOVERY_FAILURE,GLOBAL,146,C2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,24,2023-11-24 14:00:00+00:00,37302.8,37712.4,0.010980408977342204
10576,TROUGH_RECOVERY_FAILURE,GLOBAL,146,C2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,48,2023-11-25 14:00:00+00:00,37302.8,37719.9,0.011181466270628437
10579,TROUGH_RECOVERY_FAILURE,GLOBAL,316,D2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,6,2023-11-23 20:00:00+00:00,37302.8,37255.0,-0.0012814051492113787
10579,TROUGH_RECOVERY_FAILURE,GLOBAL,316,D2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,24,2023-11-24 14:00:00+00:00,37302.8,37712.4,0.010980408977342204
10579,TROUGH_RECOVERY_FAILURE,GLOBAL,316,D2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,48,2023-11-25 14:00:00+00:00,37302.8,37719.9,0.011181466270628437
10582,TROUGH_RECOVERY_FAILURE,GLOBAL,489,E2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,6,2023-11-23 20:00:00+00:00,37302.8,37255.0,-0.0012814051492113787
10582,TROUGH_RECOVERY_FAILURE,GLOBAL,489,E2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,24,2023-11-24 14:00:00+00:00,37302.8,37712.4,0.010980408977342204
10582,TROUGH_RECOVERY_FAILURE,GLOBAL,489,E2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,48,2023-11-25 14:00:00+00:00,37302.8,37719.9,0.011181466270628437
10577,TROUGH_RECOVERY_FAILURE,LOCKED,146,C2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,6,2023-11-23 20:00:00+00:00,37302.8,37255.0,-0.0012814051492113787
10577,TROUGH_RECOVERY_FAILURE,LOCKED,146,C2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,24,2023-11-24 14:00:00+00:00,37302.8,37712.4,0.010980408977342204
10577,TROUGH_RECOVERY_FAILURE,LOCKED,146,C2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,48,2023-11-25 14:00:00+00:00,37302.8,37719.9,0.011181466270628437
10580,TROUGH_RECOVERY_FAILURE,LOCKED,316,D2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,6,2023-11-23 20:00:00+00:00,37302.8,37255.0,-0.0012814051492113787
10580,TROUGH_RECOVERY_FAILURE,LOCKED,316,D2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,24,2023-11-24 14:00:00+00:00,37302.8,37712.4,0.010980408977342204
10580,TROUGH_RECOVERY_FAILURE,LOCKED,316,D2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,48,2023-11-25 14:00:00+00:00,37302.8,37719.9,0.011181466270628437
10583,TROUGH_RECOVERY_FAILURE,LOCKED,489,E2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,6,2023-11-23 20:00:00+00:00,37302.8,37255.0,-0.0012814051492113787
10583,TROUGH_RECOVERY_FAILURE,LOCKED,489,E2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,24,2023-11-24 14:00:00+00:00,37302.8,37712.4,0.010980408977342204
10583,TROUGH_RECOVERY_FAILURE,LOCKED,489,E2,ROBUSTNESS_2023,BTC-USDT,2023-11-23 14:00:00+00:00,LOCKED,48,2023-11-25 14:00:00+00:00,37302.8,37719.9,0.011181466270628437
10587,PERSISTENT_LOWER_HIGH_GIVEBACK,CAUTION_OR_LOCKED,147,C2,ROBUSTNESS_2023,ETH-USDT,2023-11-23 17:00:00+00:00,LOCKED,6,2023-11-23 23:00:00+00:00,2042.33,2068.67,0.01289703426968214
10587,PERSISTENT_LOWER_HIGH_GIVEBACK,CAUTION_OR_LOCKED,147,C2,ROBUSTNESS_2023,ETH-USDT,2023-11-23 17:00:00+00:00,LOCKED,24,2023-11-24 17:00:00+00:00,2042.33,2116.82,0.036473047940342784
10587,PERSISTENT_LOWER_HIGH_GIVEBACK,CAUTION_OR_LOCKED,147,C2,ROBUSTNESS_2023,ETH-USDT,2023-11-23 17:00:00+00:00,LOCKED,48,2023-11-25 17:00:00+00:00,2042.33,2078.11,0.017519206004906307
