applicable_end,applicable_start,boundary_status,coverage_ratio,covered_pair_days,documented_inactivity_boundary,expected_applicable_pair_days,first_valid_open,last_valid_open,missing_pair_days,pair,product_eligible
2024-12-31T00:00:00+00:00,2022-10-27T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,797,True,797,2022-10-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,GRAM-USDT,True
2024-12-31T00:00:00+00:00,2020-12-18T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1475,True,1475,2020-12-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,GRT-USDT,True
2024-12-31T00:00:00+00:00,2021-09-09T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1210,True,1210,2021-09-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,GTC-USDT,True
2024-12-31T00:00:00+00:00,2021-04-22T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1350,True,1350,2021-04-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,HAI-USDT,True
2024-12-31T00:00:00+00:00,2021-09-14T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1205,True,1205,2021-09-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,HBAR-USDT,True
2024-12-31T00:00:00+00:00,2021-12-13T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1115,True,1115,2021-12-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,HEART-USDT,True
2024-12-31T00:00:00+00:00,2022-11-07T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,786,True,786,2022-11-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,HFT-USDT,True
2024-12-31T00:00:00+00:00,2023-02-08T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,693,True,693,2023-02-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,HIGH-USDT,True
2024-12-31T00:00:00+00:00,2023-03-30T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,643,True,643,2023-03-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,HMND-USDT,True
2024-12-31T00:00:00+00:00,2022-01-05T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1092,True,1092,2022-01-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,HNT-USDT,True
2024-12-31T00:00:00+00:00,2021-01-04T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1458,True,1458,2021-01-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,HTR-USDT,True
2024-12-31T00:00:00+00:00,2021-01-14T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1448,True,1448,2021-01-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,HYDRA-USDT,True
2024-12-31T00:00:00+00:00,2021-05-11T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1331,True,1331,2021-05-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,ICP-USDT,True
2024-12-31T00:00:00+00:00,2022-06-17T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,929,True,929,2022-06-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,ICX-USDT,True
2024-12-31T00:00:00+00:00,2023-03-22T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,651,True,651,2023-03-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,ID-USDT,True
2024-12-31T00:00:00+00:00,2021-09-24T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1195,True,1195,2021-09-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,ILV-USDT,True
2024-12-31T00:00:00+00:00,2021-11-29T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1129,True,1129,2021-11-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,IMX-USDT,True
