variant,membership_type,decision_time,member_count,one_week_turnover_count,four_week_turnover_count,one_week_retention_rate,four_week_retention_rate,changed
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-05-30T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-06-06T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-06-13T00:00:00+00:00,6,2,2,0.8333333333333334,0.8333333333333334,True
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-06-20T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-06-27T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-07-04T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-07-11T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-07-18T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-07-25T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-08-01T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-08-08T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-08-15T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-08-22T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-08-29T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-09-05T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-09-12T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-09-19T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-09-26T00:00:00+00:00,6,2,2,0.8333333333333334,0.8333333333333334,True
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-10-03T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-10-10T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-10-17T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-10-24T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-10-31T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-11-07T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-11-14T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-11-21T00:00:00+00:00,6,2,2,0.8333333333333334,0.8333333333333334,True
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-11-28T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-12-05T00:00:00+00:00,6,2,4,0.8333333333333334,0.6666666666666666,True
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-12-12T00:00:00+00:00,6,0,4,1.0,0.6666666666666666,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-12-19T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2022-12-26T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-01-02T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-01-09T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-01-16T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-01-23T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-01-30T00:00:00+00:00,6,2,2,0.8333333333333334,0.8333333333333334,True
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-02-06T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-02-13T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-02-20T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-02-27T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-03-06T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-03-13T00:00:00+00:00,6,2,2,0.8333333333333334,0.8333333333333334,True
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-03-20T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-03-27T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-04-03T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-04-10T00:00:00+00:00,6,2,2,0.8333333333333334,0.8333333333333334,True
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-04-17T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-04-24T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-05-01T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-05-08T00:00:00+00:00,6,2,2,0.8333333333333334,0.8333333333333334,True
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-05-15T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-05-22T00:00:00+00:00,6,2,4,0.8333333333333334,0.6666666666666666,True
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-05-29T00:00:00+00:00,6,0,4,1.0,0.6666666666666666,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-06-05T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-06-12T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-06-19T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-06-26T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-07-03T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-07-10T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-07-17T00:00:00+00:00,6,2,2,0.8333333333333334,0.8333333333333334,True
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-07-24T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-07-31T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-08-07T00:00:00+00:00,6,0,2,1.0,0.8333333333333334,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-08-14T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-08-21T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-08-28T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-09-04T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-09-11T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-09-18T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-09-25T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-10-02T00:00:00+00:00,6,0,0,1.0,1.0,False
D_EVIDENCE_STRONG,top6_top8_hysteresis,2023-10-09T00:00:00+00:00,6,0,0,1.0,1.0,False
