signal_id,regime_id,state,decision_count,mean_rank_ic
RETURN_PATH_EFFICIENCY_28D,BTC_TREND_STATE,UP,80,-0.018162641029715557
RETURN_PATH_EFFICIENCY_28D,BTC_REALIZED_VOLATILITY_TERCILE,HIGH,18,-0.0903720182919293
RETURN_PATH_EFFICIENCY_28D,BTC_REALIZED_VOLATILITY_TERCILE,LOW,47,-0.04275672733297044
RETURN_PATH_EFFICIENCY_28D,BTC_REALIZED_VOLATILITY_TERCILE,MID,39,-0.019590346620380002
RETURN_PATH_EFFICIENCY_28D,CROSS_SECTIONAL_DISPERSION_TERCILE,HIGH,39,-0.03979513256487672
RETURN_PATH_EFFICIENCY_28D,CROSS_SECTIONAL_DISPERSION_TERCILE,LOW,32,-0.05991379310344827
RETURN_PATH_EFFICIENCY_28D,CROSS_SECTIONAL_DISPERSION_TERCILE,MID,33,-0.028213166144200615
RETURN_PATH_EFFICIENCY_28D,AVERAGE_PAIRWISE_CORRELATION_TERCILE,INSUFFICIENT_HISTORY,104,-0.042310442616338054
RETURN_PATH_EFFICIENCY_28D,MARKET_BREADTH_TERCILE,HIGH,48,-0.047985195190423234
RETURN_PATH_EFFICIENCY_28D,MARKET_BREADTH_TERCILE,LOW,21,-0.14677684199374963
RETURN_PATH_EFFICIENCY_28D,MARKET_BREADTH_TERCILE,MID,35,0.02815191482599714
RETURN_PATH_EFFICIENCY_28D,PIT_UNIVERSE_SIZE_TERCILE,LOW,104,-0.042310442616338054
OLS_TREND_TSTAT_28D,BTC_TREND_STATE,INSUFFICIENT_HISTORY,24,-0.09375231738969225
OLS_TREND_TSTAT_28D,BTC_TREND_STATE,UP,80,-0.01449348482440807
OLS_TREND_TSTAT_28D,BTC_REALIZED_VOLATILITY_TERCILE,HIGH,18,-0.057718452601656166
OLS_TREND_TSTAT_28D,BTC_REALIZED_VOLATILITY_TERCILE,LOW,47,-0.023397155231581195
OLS_TREND_TSTAT_28D,BTC_REALIZED_VOLATILITY_TERCILE,MID,39,-0.032588101553618784
OLS_TREND_TSTAT_28D,CROSS_SECTIONAL_DISPERSION_TERCILE,HIGH,39,-0.04974676787802482
OLS_TREND_TSTAT_28D,CROSS_SECTIONAL_DISPERSION_TERCILE,LOW,32,-0.023818131256952164
OLS_TREND_TSTAT_28D,CROSS_SECTIONAL_DISPERSION_TERCILE,MID,33,-0.02143121987393401
OLS_TREND_TSTAT_28D,AVERAGE_PAIRWISE_CORRELATION_TERCILE,INSUFFICIENT_HISTORY,104,-0.03278398464716596
OLS_TREND_TSTAT_28D,MARKET_BREADTH_TERCILE,HIGH,48,-0.03900564118862228
