symbol,open_time,close_time,expected_close_time,close_time_standard,quote_volume,number_of_trades,taker_buy_quote_volume
ETHUSDT,2023-03-24T12:01:00+00:00,2023-03-24T12:01:59.999000+00:00,2023-03-24T12:01:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:02:00+00:00,2023-03-24T12:02:59.999000+00:00,2023-03-24T12:02:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:03:00+00:00,2023-03-24T12:03:59.999000+00:00,2023-03-24T12:03:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:04:00+00:00,2023-03-24T12:04:59.999000+00:00,2023-03-24T12:04:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:05:00+00:00,2023-03-24T12:05:59.999000+00:00,2023-03-24T12:05:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:06:00+00:00,2023-03-24T12:06:59.999000+00:00,2023-03-24T12:06:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:07:00+00:00,2023-03-24T12:07:59.999000+00:00,2023-03-24T12:07:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:08:00+00:00,2023-03-24T12:08:59.999000+00:00,2023-03-24T12:08:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:09:00+00:00,2023-03-24T12:09:59.999000+00:00,2023-03-24T12:09:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:10:00+00:00,2023-03-24T12:10:59.999000+00:00,2023-03-24T12:10:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:11:00+00:00,2023-03-24T12:11:59.999000+00:00,2023-03-24T12:11:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:12:00+00:00,2023-03-24T12:12:59.999000+00:00,2023-03-24T12:12:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:13:00+00:00,2023-03-24T12:13:59.999000+00:00,2023-03-24T12:13:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:14:00+00:00,2023-03-24T12:14:59.999000+00:00,2023-03-24T12:14:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:15:00+00:00,2023-03-24T12:15:59.999000+00:00,2023-03-24T12:15:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:16:00+00:00,2023-03-24T12:16:59.999000+00:00,2023-03-24T12:16:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:17:00+00:00,2023-03-24T12:17:59.999000+00:00,2023-03-24T12:17:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:18:00+00:00,2023-03-24T12:18:59.999000+00:00,2023-03-24T12:18:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:19:00+00:00,2023-03-24T12:19:59.999000+00:00,2023-03-24T12:19:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:20:00+00:00,2023-03-24T12:20:59.999000+00:00,2023-03-24T12:20:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:21:00+00:00,2023-03-24T12:21:59.999000+00:00,2023-03-24T12:21:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:22:00+00:00,2023-03-24T12:22:59.999000+00:00,2023-03-24T12:22:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:23:00+00:00,2023-03-24T12:23:59.999000+00:00,2023-03-24T12:23:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:24:00+00:00,2023-03-24T12:24:59.999000+00:00,2023-03-24T12:24:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:25:00+00:00,2023-03-24T12:25:59.999000+00:00,2023-03-24T12:25:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:26:00+00:00,2023-03-24T12:26:59.999000+00:00,2023-03-24T12:26:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:27:00+00:00,2023-03-24T12:27:59.999000+00:00,2023-03-24T12:27:59.999000+00:00,True,0.0,0,0.0
ETHUSDT,2023-03-24T12:28:00+00:00,2023-03-24T12:28:59.999000+00:00,2023-03-24T12:28:59.999000+00:00,True,0.0,0,0.0
