pair,resolution,boundary_status,first_valid_open,last_valid_open,discovery_channels
AVAX3L-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
AVAX3S-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
AVNT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
AWE-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
AWG-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
AXC-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
AXE-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
AXPR-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
AXS-USDT,,EXACT_FULL_HISTORY,2021-07-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
AXS3L-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
AXS3S-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
AZERO-USDT,,EXACT_FULL_HISTORY,2022-11-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
AZN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
AZTEC-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
B-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
B2-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
B3-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BABY-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BABYBNB-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BABYDOGE-USDT,,EXACT_FULL_HISTORY,2023-04-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
BABYSHARK-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BABYSHARKO-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BADGER-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BAKE-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BAKEDOWN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BAKEUP-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BAL-USDT,,EXACT_FULL_HISTORY,2021-09-03T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
BAN-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BANANA-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BAND-USDT,,EXACT_FULL_HISTORY,2021-09-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
BANK-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BARD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BAS-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BASED-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BASIC-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BAT-USDT,,EXACT_FULL_HISTORY,2021-02-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
BAX-USDT,,EXACT_FULL_HISTORY,2021-04-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,current_currency_non_causal_seed
BB-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BBC-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BBD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BBL-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BBT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BCD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BCH-USDT,,EXACT_FULL_HISTORY,2020-11-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
BCH3L-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BCH3S-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BCHA-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BCHABC-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BCHSV-USDT,,EXACT_FULL_HISTORY,2018-11-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,current_currency_non_causal_seed
BCPT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BCUT-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BDT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BDX-USDT,,EXACT_FULL_HISTORY,2023-01-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
BEAT-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BEATOLD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BEER-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BEFI-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BELIEVE-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BEPRO-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BERA-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BERT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BEST-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BETA-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BFC-USDT,,EXACT_FULL_HISTORY,2022-05-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
BFT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BGN-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BHC-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BHD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BICO-USDT,,EXACT_FULL_HISTORY,2022-03-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
BIDP-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BIF-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BIFI-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BIGTIME-USDT,,EXACT_FULL_HISTORY,2023-10-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
BIIS-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BILL-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BIO-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BIRB-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BIT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BITCLAVE-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BLAST-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BLEND-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BLOC-USDT,,NOT_CONFIRMED,,,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
BLOCK-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BLOCKST-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BLOK-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BLUAI-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BLUE-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BLUM-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BLUR-USDT,,EXACT_FULL_HISTORY,2023-02-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
BLUR2L-USDT,,EXACT_FULL_HISTORY,2023-02-16T00:00:00+00:00,2023-08-15T00:00:00+00:00,current_currency_non_causal_seed
BLUR2S-USDT,,EXACT_FULL_HISTORY,2023-02-16T00:00:00+00:00,2023-08-15T00:00:00+00:00,current_currency_non_causal_seed
BLZ-USDT,,EXACT_FULL_HISTORY,2023-03-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
BMB-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BMON-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BMT-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BMX-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BN-USDT,,NOT_CONFIRMED,,,announcement_listing
BNB-USDT,,EXACT_FULL_HISTORY,2019-06-19T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
BNB3L-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BNB3S-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BNC-USDT,,EXACT_FULL_HISTORY,2022-03-31T00:00:00+00:00,2024-12-31T00:00:00+00:00,announcement_listing;current_currency_non_causal_seed
BND-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BNKR-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BNOLD-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BNRENSHENG-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BNS-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BNT-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
BNTY-USDT,,NOT_CONFIRMED,,,current_currency_non_causal_seed
BNX-USDT,,NOT_CONFIRMED,,,announcement_listing;current_currency_non_causal_seed
