universe_id,landmark_age_hours,direction,training_period,evaluation_period,removed_pair,training_row_count,evaluation_row_count,training_pair_count,evaluation_pair_count,structural_support_pass,model_fit_pass,continuous_lopo_pass,classification_auc_lopo_pass,subset_required_lopo_pass,spearman_predicted_vs_actual,auc_adverse_score,subset_row_count,subset_actual_mean_rcv,subset_actual_negative_fraction
D2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ADA-USDT,40,127,7,12,True,True,False,True,False,-0.026949392742782474,0.5233482364629906,125,0.02871570395587427,0.512
D2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ATOM-USDT,42,127,7,12,True,True,False,True,False,0.04417120077293392,0.557625434674615,116,0.03041626383497146,0.5172413793103449
D2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,AVAX-USDT,40,125,7,11,True,True,False,False,False,-0.10986282941106248,0.4505649717514124,125,0.0265465373243292,0.528
D2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,BTC-USDT,38,102,7,11,True,True,False,False,False,-0.12914554329321531,0.4716981132075472,96,0.03505830730162283,0.5104166666666666
D2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,DOGE-USDT,45,122,8,11,True,True,False,True,False,0.0022373397905006685,0.5397359913793104,115,0.029637903941699347,0.5304347826086957
D2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,ETH-USDT,33,107,7,11,True,True,False,True,False,-0.02068158109051319,0.5066666666666667,105,0.029302442321538683,0.5238095238095238
D2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,INJ-USDT,45,125,8,11,True,True,False,True,False,0.010206777933794367,0.5444871794871795,118,0.028387478166754083,0.5254237288135594
D2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LINK-USDT,45,122,8,11,True,True,False,True,False,0.007092046265253109,0.5435075431034483,115,0.02947661786849857,0.5304347826086957
D2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LTC-USDT,45,115,8,11,True,True,False,True,False,0.0296715416379495,0.558529945553539,108,0.03503194521435785,0.5092592592592593
D2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,LUNC-USDT,43,127,7,12,True,True,False,True,False,0.03770390004380941,0.5534028812717338,110,0.031178567850823503,0.5272727272727272
D2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,OP-USDT,45,123,8,11,True,True,False,True,False,0.014827761973845499,0.541005291005291,116,0.03068553263573893,0.5172413793103449
D2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,SHIB-USDT,45,120,8,11,True,True,False,True,False,0.0426494695576358,0.5561735261401557,113,0.027683385774840325,0.5221238938053098
D2,24,FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,SOL-USDT,38,103,7,11,True,True,False,True,False,0.057562294163684725,0.5579245283018868,90,0.020345929151997438,0.5444444444444444
