policy_id,portfolio_id,universe_id,cost_multiplier,timestamp,equity,cash,gross_exposure,gross_exposure_fraction,open_positions,active_escrow_slots
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-27 23:00:00+00:00,77707.3713587974,63485.29893450052,14222.072424296886,0.18302089204162453,2,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-28 23:00:00+00:00,78280.71327638562,71056.23694133793,7224.47633504768,0.09228935241737297,1,4.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-29 23:00:00+00:00,78271.72052176595,78271.72052176595,0.0,0.0,0,5.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-30 23:00:00+00:00,78226.42700320682,71218.46010624831,7007.966896958501,0.08958567028340968,1,3.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-05-31 23:00:00+00:00,77984.81567589182,77984.81567589182,0.0,0.0,0,1.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-06-01 23:00:00+00:00,77984.81567589182,77984.81567589182,0.0,0.0,0,1.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-06-02 23:00:00+00:00,77984.81567589182,77984.81567589182,0.0,0.0,0,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-06-03 23:00:00+00:00,77945.48903791163,70957.40897329802,6988.080064613603,0.08965342511629756,1,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-06-04 23:00:00+00:00,78066.45788336835,56910.38693818239,21156.070945185962,0.2710007795767195,3,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-06-05 23:00:00+00:00,77268.18144019757,77268.18144019757,0.0,0.0,0,3.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-06-06 23:00:00+00:00,77268.18144019757,77268.18144019757,0.0,0.0,0,2.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-06-07 23:00:00+00:00,77268.18144019757,77268.18144019757,0.0,0.0,0,0.0
FAMILY_AWARE_EVIDENCE_LIFECYCLE_SLOT_ESCROW,MOMENTUM_BREAKOUT,E2,1.0,2023-06-08 23:00:00+00:00,77268.18144019757,77268.18144019757,0.0,0.0,0,0.0
