universe_id,period_id,timestamp,candidate_rank,pair,membership_rank,decision_close,return_72h,family_id,signal_strength,aux_value
C2,DISCOVERY_2019_2020,2020-07-03 09:00:00+00:00,1,XRP-USDT,6,0.17693,0.003345809232165209,MOMENTUM_ACCELERATION,0.003915227290357759,0.0038959550819295252
C2,DISCOVERY_2019_2020,2020-07-03 12:00:00+00:00,1,ADA-USDT,4,0.094675,0.13985239408131567,MOMENTUM_ACCELERATION,0.0030007574235789702,0.006196946712713425
C2,DISCOVERY_2019_2020,2020-07-03 13:00:00+00:00,1,XRP-USDT,6,0.17695,0.007573169342899533,MOMENTUM_ACCELERATION,0.0012056907141589912,0.003366427022709173
C2,DISCOVERY_2019_2020,2020-07-03 14:00:00+00:00,1,ADA-USDT,4,0.098064,0.18314753148979301,MOMENTUM_ACCELERATION,0.03557960575339536,0.0033538468090543727
C2,DISCOVERY_2019_2020,2020-07-03 14:00:00+00:00,1,ADA-USDT,4,0.098064,0.18314753148979301,MOMENTUM_BREAKOUT,0.6711361492773208,0.096967
C2,DISCOVERY_2019_2020,2020-07-03 16:00:00+00:00,1,ETH-USDT,2,226.86,0.002164597782391642,MOMENTUM_ACCELERATION,0.001612238483341577,0.0003977548945950371
C2,DISCOVERY_2019_2020,2020-07-03 17:00:00+00:00,1,ADA-USDT,4,0.100645,0.20473779341880016,MOMENTUM_BREAKOUT,0.6921740006548913,0.0995
C2,DISCOVERY_2019_2020,2020-07-04 03:00:00+00:00,1,LTC-USDT,8,41.64,0.009944215377152732,MOMENTUM_ACCELERATION,0.0056444039438863225,0.0007016015870711101
C2,DISCOVERY_2019_2020,2020-07-04 08:00:00+00:00,1,LTC-USDT,8,41.498,0.004721206692007929,MOMENTUM_ACCELERATION,0.0009636261948460234,0.0015011016148949174
C2,DISCOVERY_2019_2020,2020-07-04 13:00:00+00:00,1,XRP-USDT,6,0.17773,0.012302785213874845,MOMENTUM_ACCELERATION,5.089791168177982e-05,0.0019223158251824302
C2,DISCOVERY_2019_2020,2020-07-04 14:00:00+00:00,1,LTC-USDT,8,41.787,0.0028559086109245513,MOMENTUM_ACCELERATION,0.0021412731195689094,0.0032152786171883996
C2,DISCOVERY_2019_2020,2020-07-04 15:00:00+00:00,1,KCS-USDT,3,0.87264,-0.008217122984077285,MOMENTUM_ACCELERATION,0.0018261868649211976,0.0003677104280379595
C2,DISCOVERY_2019_2020,2020-07-04 17:00:00+00:00,1,XRP-USDT,6,0.17777,0.00106994030859342,MOMENTUM_ACCELERATION,0.00174795846296949,0.0006773538044704264
C2,DISCOVERY_2019_2020,2020-07-04 18:00:00+00:00,1,LTC-USDT,8,42.08,0.005303645659133327,MOMENTUM_BREAKOUT,0.6670035371399724,41.97
C2,DISCOVERY_2019_2020,2020-07-04 18:00:00+00:00,2,XRP-USDT,6,0.17901,0.00890492025023959,MOMENTUM_BREAKOUT,0.34013605442176975,0.17876
C2,DISCOVERY_2019_2020,2020-07-04 18:00:00+00:00,1,BTC-USDT,1,9167.7,-0.011717907809063788,VOLATILITY_EXPANSION,6.290537538871552,0.8313559322033929
C2,DISCOVERY_2019_2020,2020-07-04 18:00:00+00:00,2,ETH-USDT,2,229.9,-0.010672174885962615,VOLATILITY_EXPANSION,6.275171323141749,0.8387096774193576
C2,DISCOVERY_2019_2020,2020-07-04 18:00:00+00:00,3,LTC-USDT,8,42.08,0.005303645659133327,VOLATILITY_EXPANSION,4.202122283981835,0.7835497835497849
C2,DISCOVERY_2019_2020,2020-07-04 18:00:00+00:00,4,KCS-USDT,3,0.8789,-0.006084045777355551,VOLATILITY_EXPANSION,3.932618683001524,0.9918224299065403
C2,DISCOVERY_2019_2020,2020-07-04 19:00:00+00:00,1,ETH-USDT,2,228.75,-0.012774588925812513,MOMENTUM_ACCELERATION,0.011296309739066257,4.421452889435962e-05
