direction,training_period,evaluation_period,universe_id,landmark_age_hours,model_fit_pass,rank,coefficient_name,coefficient_value
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,48,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,-0.011525730116724952
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,48,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,-0.01914737083593247
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,72,True,3,INTERCEPT,0.04051088869566996
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,72,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,-0.07374167564099965
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,72,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,0.057949764034062504
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,96,True,3,INTERCEPT,0.017832413145101967
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,96,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,-0.019594753133472066
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,96,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,0.04066253753928415
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,120,True,3,INTERCEPT,0.03866995959375908
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,120,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,-0.025382177451204083
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,120,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,-0.01947484839564422
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,144,True,3,INTERCEPT,0.021905696902018695
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,144,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,-0.021424673983153338
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,D2,144,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,-0.002693398025594181
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,24,True,3,INTERCEPT,0.02362650330613673
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,24,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,-0.007560582802415482
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,24,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,0.009775228186315278
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,48,True,3,INTERCEPT,0.022092597283338337
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,48,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,-0.000611237514040262
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,48,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,-0.0015963715019061753
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,72,True,3,INTERCEPT,0.014330493431515195
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,72,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,-0.034620619344854234
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,72,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,0.039207536898585166
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,96,True,3,INTERCEPT,0.016967297416220876
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,96,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,-0.0005336287634372702
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,96,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,-0.0016843980271516112
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,120,True,3,INTERCEPT,0.012923118456723793
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,120,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,-0.015833487456896316
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,120,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,-0.0012299094600914141
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,144,True,3,INTERCEPT,-0.00689831370835152
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,144,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,-0.0004967612592750122
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,E2,144,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,0.018590550980822778
