pair,first_observed_probe_open,last_observed_probe_open,boundary_status,full_history_downloaded
NEON-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
NFT-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
NIM-USDT,2021-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
NKN-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
NMR-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
NUM-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
NYM-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
OBI-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
OGN-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
ONDO-USDT,2024-01-18T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
ONE-USDT,2020-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
OP-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
ORAI-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
ORBS-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
ORCA-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
OSMO-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
OTK-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
OVR-USDT,2023-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
OXT-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
PAXG-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
PENDLE-USDT,2024-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
PEOPLE-USDT,2022-01-15T00:00:00+00:00,2024-01-21T00:00:00+00:00,COARSE_E1_BOUNDARY_ONLY,False
