currency,display_name,full_name,is_margin_enabled,is_debit_enabled,chain_count,canonical_asset_id,identity_confidence,current_metadata_isolation,historical_base_usdt_kline_found
ASD,ASD,AscendEX token,False,False,1,ASD,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ASI,ASI,Sender AI,False,False,1,ASI,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ASP,ASP,ASPECTA,False,True,1,ASP,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ASRR,ASRR,Assisterr AI,False,False,1,ASRR,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ASSET,ASSET,REAL,False,False,1,ASSET,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ASTER,ASTER,Aster,True,True,1,ASTER,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ASTR,ASTR,Astar Network,False,True,1,ASTR,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
ASTRA,ASTRA,Astra Protocol,False,True,1,ASTRA,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ASTROBOY,ASTROBOY,MC Astroboy,False,False,1,ASTROBOY,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ATA,ATA,Automata Network,False,False,2,ATA,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
ATEM,ATEM,Atem Network,False,False,1,ATEM,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ATH,ATH,Aethir,False,True,1,ATH,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ATOM,ATOM,Cosmos,True,True,1,ATOM,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
ATOM3L,ATOM3L,ATOM 3x Long,False,False,1,ATOM3L,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ATOM3S,ATOM3S,ATOM 3x Short,False,False,1,ATOM3S,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ATOR,ATOR,ATOR Protocol,False,False,1,ATOR,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ATWO,ATWO,Arena Two,False,False,1,ATWO,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AUCTION,AUCTION,Bounce Finance,False,False,1,AUCTION,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
