policy_id,portfolio_id,universe_id,cost_multiplier,exit_reason,trade_count,net_pnl,mean_holding_hours
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,RELATIVE_STRENGTH_ROTATION,D2,2.0,PROFIT_GIVEBACK_LOCK_4ATR_ARM_3ATR_GIVEBACK,66,47065.07047618265,47.36363636363637
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,RELATIVE_STRENGTH_ROTATION,D2,2.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,52,-48391.48300290227,72.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,RELATIVE_STRENGTH_ROTATION,E2,1.0,MAX_HOLD_168H,5,-975.1610903563469,168.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,RELATIVE_STRENGTH_ROTATION,E2,1.0,PROFIT_GIVEBACK_LOCK_4ATR_ARM_3ATR_GIVEBACK,62,45415.22855105858,45.516129032258064
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,RELATIVE_STRENGTH_ROTATION,E2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,54,-52958.53896401742,72.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,RELATIVE_STRENGTH_ROTATION,E2,2.0,MAX_HOLD_168H,5,-1160.8223620166102,168.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,RELATIVE_STRENGTH_ROTATION,E2,2.0,PROFIT_GIVEBACK_LOCK_4ATR_ARM_3ATR_GIVEBACK,62,41625.15703478648,45.516129032258064
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,RELATIVE_STRENGTH_ROTATION,E2,2.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,54,-53832.81380686932,72.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,C2,1.0,MAX_HOLD_168H,18,-3977.773661467412,168.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,C2,1.0,PROFIT_GIVEBACK_LOCK_4ATR_ARM_3ATR_GIVEBACK,313,105113.69126803949,36.814696485623
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,C2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,214,-121745.30456276768,72.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,C2,2.0,MAX_HOLD_168H,18,-4216.833973931789,168.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,C2,2.0,PROFIT_GIVEBACK_LOCK_4ATR_ARM_3ATR_GIVEBACK,313,89639.43329261,36.814696485623
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,C2,2.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,214,-118633.72122318957,72.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,D2,1.0,MAX_HOLD_168H,18,-3992.04740755677,168.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,D2,1.0,PROFIT_GIVEBACK_LOCK_4ATR_ARM_3ATR_GIVEBACK,317,106072.77303075406,36.75709779179811
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,D2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,228,-122800.87903400029,72.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,D2,2.0,MAX_HOLD_168H,18,-4240.689708243718,168.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,D2,2.0,PROFIT_GIVEBACK_LOCK_4ATR_ARM_3ATR_GIVEBACK,317,90361.91351393568,36.75709779179811
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,D2,2.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,228,-119803.15625399184,72.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,E2,1.0,MAX_HOLD_168H,17,-3963.2302957562083,168.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,E2,1.0,PROFIT_GIVEBACK_LOCK_4ATR_ARM_3ATR_GIVEBACK,316,104387.71776830914,36.60126582278481
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,E2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,222,-124269.4343956128,72.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,E2,2.0,MAX_HOLD_168H,17,-4185.654388905615,168.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,E2,2.0,PROFIT_GIVEBACK_LOCK_4ATR_ARM_3ATR_GIVEBACK,316,88946.74607973629,36.60126582278481
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,E2,2.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,222,-120960.7197794182,72.0
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,C2,1.0,MAX_HOLD_168H,163,108956.30477413979,168.0
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,C2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,191,-90087.89013161798,72.0
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,C2,2.0,MAX_HOLD_168H,163,97213.77854767226,168.0
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,C2,2.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,191,-90418.90337966674,72.0
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,D2,1.0,MAX_HOLD_168H,165,112622.88801560756,168.0
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,D2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,199,-92300.50521375077,72.0
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,D2,2.0,MAX_HOLD_168H,165,100775.67110836256,168.0
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,D2,2.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,199,-92583.1649770084,72.0
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,E2,1.0,MAX_HOLD_168H,164,116533.67673478948,168.0
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,E2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,193,-90334.42360801202,72.0
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,E2,2.0,MAX_HOLD_168H,164,104339.4821377673,168.0
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,E2,2.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,193,-90712.08035426287,72.0
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,C2,1.0,MAX_HOLD_168H,137,83954.66083798086,168.0
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,C2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,165,-81836.61237355262,72.0
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,C2,2.0,MAX_HOLD_168H,137,76402.53314412144,168.0
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,C2,2.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,165,-82704.4488380453,72.0
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,D2,1.0,MAX_HOLD_168H,141,86122.64240240486,168.0
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,D2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,159,-78350.46318031506,72.0
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,D2,2.0,MAX_HOLD_168H,141,78366.19290494017,168.0
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,D2,2.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,159,-79367.00342040231,72.0
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,E2,1.0,MAX_HOLD_168H,136,86410.03318820303,168.0
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,E2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,167,-84177.04659648523,72.0
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,E2,2.0,MAX_HOLD_168H,136,78699.81065968056,168.0
