source_v2_candidate_id,admission_change,originally_admitted,dynamically_admitted,dynamic_router_decision,candidate_net_pnl
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000351,RETAINED_ADMISSION,True,True,ADMITTED,-828.0506583971955
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000367,RETAINED_ADMISSION,True,True,ADMITTED,82.09897428986116
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000368,RETAINED_ADMISSION,True,True,ADMITTED,-833.9282569619588
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000370,RETAINED_ADMISSION,True,True,ADMITTED,-830.8232475715915
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000380,RETAINED_ADMISSION,True,True,ADMITTED,-765.3525431475251
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000385,RETAINED_ADMISSION,True,True,ADMITTED,-615.4266848575717
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000388,RETAINED_ADMISSION,True,True,ADMITTED,584.2805256744764
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000390,RETAINED_ADMISSION,True,True,ADMITTED,-650.7320707464186
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000400,RETAINED_ADMISSION,True,True,ADMITTED,-704.2695660204403
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000408,RETAINED_ADMISSION,True,True,ADMITTED,-826.3492888026799
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000413,RETAINED_ADMISSION,True,True,ADMITTED,3453.6269323130173
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000417,RETAINED_ADMISSION,True,True,ADMITTED,-641.5678658786934
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000430,DROPPED_OR_INELIGIBLE,True,False,NOT_PIT_ELIGIBLE,
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000439,RETAINED_ADMISSION,True,True,ADMITTED,-824.8086628938318
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000443,DROPPED_OR_INELIGIBLE,True,False,NOT_PIT_ELIGIBLE,
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000453,RETAINED_ADMISSION,True,True,ADMITTED,2346.3135896094723
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000473,DROPPED_OR_INELIGIBLE,True,False,NOT_PIT_ELIGIBLE,
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000478,DROPPED_OR_INELIGIBLE,True,False,NOT_PIT_ELIGIBLE,
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000480,DROPPED_OR_INELIGIBLE,True,False,NOT_PIT_ELIGIBLE,
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000483,RETAINED_ADMISSION,True,True,ADMITTED,-848.5406516553087
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000484,DROPPED_OR_INELIGIBLE,True,False,NOT_PIT_ELIGIBLE,
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000485,DROPPED_OR_INELIGIBLE,True,False,NOT_PIT_ELIGIBLE,
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000487,RETAINED_ADMISSION,True,True,ADMITTED,-826.5205877214792
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000489,RETAINED_ADMISSION,True,True,ADMITTED,544.5934736408774
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000494,DROPPED_OR_INELIGIBLE,True,False,NOT_PIT_ELIGIBLE,
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000500,DROPPED_OR_INELIGIBLE,True,False,NOT_PIT_ELIGIBLE,
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000502,DROPPED_OR_INELIGIBLE,True,False,NOT_PIT_ELIGIBLE,
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000504,DROPPED_OR_INELIGIBLE,True,False,NOT_PIT_ELIGIBLE,
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000509,RETAINED_ADMISSION,True,True,ADMITTED,-565.9382909157599
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000514,RETAINED_ADMISSION,True,True,ADMITTED,-464.05309434677685
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000517,DROPPED_OR_INELIGIBLE,True,False,NOT_PIT_ELIGIBLE,
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000519,RETAINED_ADMISSION,True,True,ADMITTED,323.6999839758611
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000523,DROPPED_OR_INELIGIBLE,True,False,NOT_PIT_ELIGIBLE,
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000525,RETAINED_ADMISSION,True,True,ADMITTED,1852.8498987556786
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000539,DROPPED_OR_INELIGIBLE,True,False,NOT_PIT_ELIGIBLE,
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000542,DROPPED_OR_INELIGIBLE,True,False,NOT_PIT_ELIGIBLE,
