event_id,family_id,universe_id,period_id,pair,decision_time,horizon_hours,exit_time,entry_open,exit_open,forward_return
21801,PERSISTENT_RELATIVE_WEAKNESS,C2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 06:00:00+00:00,24,2023-03-01 06:00:00+00:00,1.2492e-05,1.2347e-05,-0.011607428754402793
21801,PERSISTENT_RELATIVE_WEAKNESS,C2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 06:00:00+00:00,72,2023-03-03 06:00:00+00:00,1.2492e-05,1.134e-05,-0.09221902017291073
21802,PERSISTENT_RELATIVE_WEAKNESS,D2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 06:00:00+00:00,6,2023-02-28 12:00:00+00:00,1.2492e-05,1.2379e-05,-0.009045789305155316
21802,PERSISTENT_RELATIVE_WEAKNESS,D2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 06:00:00+00:00,24,2023-03-01 06:00:00+00:00,1.2492e-05,1.2347e-05,-0.011607428754402793
21802,PERSISTENT_RELATIVE_WEAKNESS,D2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 06:00:00+00:00,72,2023-03-03 06:00:00+00:00,1.2492e-05,1.134e-05,-0.09221902017291073
21803,PERSISTENT_RELATIVE_WEAKNESS,E2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 06:00:00+00:00,6,2023-02-28 12:00:00+00:00,1.2492e-05,1.2379e-05,-0.009045789305155316
21803,PERSISTENT_RELATIVE_WEAKNESS,E2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 06:00:00+00:00,24,2023-03-01 06:00:00+00:00,1.2492e-05,1.2347e-05,-0.011607428754402793
21803,PERSISTENT_RELATIVE_WEAKNESS,E2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 06:00:00+00:00,72,2023-03-03 06:00:00+00:00,1.2492e-05,1.134e-05,-0.09221902017291073
21804,LEADERSHIP_BREAKDOWN,C2,ROBUSTNESS_2023,BTC-USDT,2023-02-28 07:00:00+00:00,6,2023-02-28 13:00:00+00:00,23377.3,23392.5,0.0006502034024460368
21804,LEADERSHIP_BREAKDOWN,C2,ROBUSTNESS_2023,BTC-USDT,2023-02-28 07:00:00+00:00,24,2023-03-01 07:00:00+00:00,23377.3,23690.1,0.013380501597703764
