cost_multiplier,end_equity,period,return,start_equity,trade_count,universe_id
2.0,147994.36256487586,2022-02,-0.007791359646337925,149156.4944567756,2,C2
2.0,148246.06697840767,2022-03,0.0017007702804996416,147994.36256487586,15,C2
2.0,143696.58123031864,2022-04,-0.03068874500901042,148246.06697840767,10,C2
2.0,143696.58123031864,2022-05,0.0,143696.58123031864,0,C2
2.0,143696.58123031864,2022-06,0.0,143696.58123031864,0,C2
2.0,143696.58123031864,2022-07,0.0,143696.58123031864,0,C2
2.0,143696.58123031864,2022-08,0.0,143696.58123031864,0,C2
2.0,143121.02588698844,2022-09,-0.004005351682011771,143696.58123031864,1,C2
2.0,142486.02063269727,2022-10,-0.004436841130475044,143121.02588698844,2,C2
2.0,142486.02063269727,2022-11,0.0,142486.02063269727,0,C2
2.0,141457.97426965073,2022-12,-0.0072150682465661475,142486.02063269727,4,C2
2.0,140753.97657756772,2023-01,-0.0049767268032626655,141457.97426965073,14,C2
2.0,138470.79464097743,2023-02,-0.01622108299961289,140753.97657756772,10,C2
2.0,132262.1542587488,2023-03,-0.044837183164335714,138470.79464097743,17,C2
2.0,129566.18538261793,2023-04,-0.020383524608684866,132262.1542587488,25,C2
2.0,121336.6197421849,2023-05,-0.06351630725355184,129566.18538261793,24,C2
2.0,122368.29835537425,2023-06,0.00850261541306696,121336.6197421849,17,C2
2.0,112823.56457306363,2023-07,-0.07800005320488657,122368.29835537425,34,C2
2.0,111073.72163152916,2023-08,-0.015509551999673743,112823.56457306363,4,C2
2.0,110933.67377491258,2023-09,-0.0012608549939576719,111073.72163152916,4,C2
2.0,112156.63887475024,2023-10,0.01102429098597324,110933.67377491258,15,C2
2.0,115143.41921516287,2023-11,0.026630437309627997,112156.63887475024,31,C2
2.0,127181.79844958757,2023-12,0.10455117032723482,115143.41921516287,33,C2
2.0,119614.13002249613,2024-01,-0.059502763126054736,127181.79844958757,26,C2
2.0,129737.40853183999,2024-02,0.0846327980435082,119614.13002249613,37,C2
2.0,114260.6612851271,2024-03,-0.11929286565728336,129737.40853183999,46,C2
2.0,100617.17488777419,2024-04,-0.11940668156389211,114260.6612851271,26,C2
2.0,113865.45295816609,2024-05,0.1316701456303926,100617.17488777419,35,C2
2.0,108334.09661703106,2024-06,-0.0485780032260289,113865.45295816609,23,C2
2.0,110487.9417219529,2024-07,0.019881507043307378,108334.09661703106,19,C2
2.0,110397.22325278417,2024-08,-0.0008210712205773962,110487.9417219529,4,C2
2.0,99788.05483321208,2024-09,-0.09609995710924302,110397.22325278417,15,C2
2.0,97203.20146364025,2024-10,-0.025903434773753342,99788.05483321208,21,C2
2.0,105500.22365533253,2024-11,0.08535749920537206,97203.20146364025,28,C2
2.0,110768.66718439061,2024-12,0.049937747490185425,105500.22365533253,36,C2
1.0,100000.0,2019-04,0.0,100000.0,0,D2
1.0,100000.0,2019-05,0.0,100000.0,0,D2
1.0,100000.0,2019-06,0.0,100000.0,0,D2
1.0,100000.0,2019-07,0.0,100000.0,0,D2
1.0,95949.18245063911,2019-08,-0.040508175493608856,100000.0,7,D2
1.0,96011.23306709742,2019-09,0.0006467029199568319,95949.18245063911,3,D2
1.0,94079.81551362475,2019-10,-0.020116578985324485,96011.23306709742,6,D2
1.0,89335.51077230714,2019-11,-0.050428508128085525,94079.81551362475,18,D2
1.0,89047.32248840193,2019-12,-0.003225909623326917,89335.51077230714,1,D2
1.0,86455.64780525128,2020-01,-0.029104465027437576,89047.32248840193,15,D2
