comparison,scope,year,top_n,decision_count,exact_match_rate,mean_jaccard,mean_symmetric_difference,mean_substitution_count,mean_rank_displacement,mean_spearman_common,mean_eligible_count_difference,mean_turnover_difference
B2_vs_C2,POST_WARMUP,2022,HYSTERESIS,52,1.0,1.0,0.0,0.0,15.739519152206343,0.9997050613597025,-32.98076923076923,0.0
B2_vs_C2,POST_WARMUP,2023,4,52,1.0,1.0,0.0,0.0,20.812532214040143,0.999759843366297,-41.86538461538461,-41.55769230769231
B2_vs_C2,POST_WARMUP,2023,6,52,0.7115384615384616,0.9175824175824177,0.5769230769230769,0.28846153846153844,20.812532214040143,0.999759843366297,-41.86538461538461,-41.55769230769231
B2_vs_C2,POST_WARMUP,2023,8,52,0.5384615384615384,0.8871794871794871,1.0384615384615385,0.5192307692307693,20.812532214040143,0.999759843366297,-41.86538461538461,-41.59615384615385
B2_vs_C2,POST_WARMUP,2023,10,52,0.36538461538461536,0.8422538999462078,1.8461538461538463,0.9230769230769231,20.812532214040143,0.999759843366297,-41.86538461538461,-41.59615384615385
B2_vs_C2,POST_WARMUP,2023,30,52,0.0,0.8306380723956626,5.6923076923076925,2.8461538461538463,20.812532214040143,0.999759843366297,-41.86538461538461,-41.71153846153846
B2_vs_C2,POST_WARMUP,2023,HYSTERESIS,52,0.46153846153846156,0.8461538461538463,1.0769230769230769,0.5384615384615384,20.812532214040143,0.999759843366297,-41.86538461538461,-0.11538461538461539
B2_vs_C2,POST_WARMUP,2024,4,53,0.6792452830188679,0.8716981132075471,0.6415094339622641,0.32075471698113206,25.068622875574082,0.9997396522452437,-58.886792452830186,-58.62264150943396
B2_vs_C2,POST_WARMUP,2024,6,53,0.39622641509433965,0.7911051212938006,1.5471698113207548,0.7735849056603774,25.068622875574082,0.9997396522452437,-58.886792452830186,-58.62264150943396
B2_vs_C2,POST_WARMUP,2024,8,53,0.1509433962264151,0.7174004192872118,2.7547169811320753,1.3773584905660377,25.068622875574082,0.9997396522452437,-58.886792452830186,-58.62264150943396
B2_vs_C2,POST_WARMUP,2024,10,53,0.09433962264150944,0.7163653956106785,3.4339622641509435,1.7169811320754718,25.068622875574082,0.9997396522452437,-58.886792452830186,-58.62264150943396
B2_vs_C2,POST_WARMUP,2024,30,53,0.0,0.7751992735344568,7.622641509433962,3.811320754716981,25.068622875574082,0.9997396522452437,-58.886792452830186,-58.62264150943396
B2_vs_C2,POST_WARMUP,2024,HYSTERESIS,53,0.2830188679245283,0.7223719676549867,2.1132075471698113,1.0566037735849056,25.068622875574082,0.9997396522452437,-58.886792452830186,-0.07547169811320754
D2_vs_C2,FULL_ONLY,2019,4,12,0.9166666666666666,0.9666666666666667,0.16666666666666666,0.08333333333333333,0.09722222222222221,0.9973576713084709,-1.1666666666666667,-0.5833333333333334
D2_vs_C2,FULL_ONLY,2019,6,12,0.8333333333333334,0.9523809523809522,0.3333333333333333,0.16666666666666666,0.09722222222222221,0.9973576713084709,-1.1666666666666667,-0.5833333333333334
D2_vs_C2,FULL_ONLY,2019,8,12,0.8333333333333334,0.9583333333333334,0.3333333333333333,0.3333333333333333,0.09722222222222221,0.9973576713084709,-1.1666666666666667,-0.5833333333333334
D2_vs_C2,FULL_ONLY,2019,10,12,0.8333333333333334,0.9333333333333332,0.6666666666666666,0.6666666666666666,0.09722222222222221,0.9973576713084709,-1.1666666666666667,-0.5833333333333334
D2_vs_C2,FULL_ONLY,2019,30,12,0.8333333333333334,0.9102564102564102,1.1666666666666667,1.1666666666666667,0.09722222222222221,0.9973576713084709,-1.1666666666666667,-0.5833333333333334
D2_vs_C2,FULL_ONLY,2019,HYSTERESIS,12,0.8333333333333334,0.9523809523809522,0.3333333333333333,0.16666666666666666,0.09722222222222221,0.9973576713084709,-1.1666666666666667,0.0
D2_vs_C2,POST_WARMUP,2019,4,40,0.7,0.8800000000000001,0.6,0.3,2.314890336379307,0.98060112789009,-10.325,-10.175
D2_vs_C2,POST_WARMUP,2019,6,40,0.025,0.7214285714285715,1.95,0.975,2.314890336379307,0.98060112789009,-10.325,-10.175
D2_vs_C2,POST_WARMUP,2019,8,40,0.0,0.6756944444444445,2.95,2.2,2.314890336379307,0.98060112789009,-10.325,-8.925
D2_vs_C2,POST_WARMUP,2019,10,40,0.0,0.5503146853146852,5.225,4.0,2.314890336379307,0.98060112789009,-10.325,-7.55
D2_vs_C2,POST_WARMUP,2019,30,40,0.0,0.457958635453766,10.425,10.425,2.314890336379307,0.98060112789009,-10.325,-0.25
D2_vs_C2,POST_WARMUP,2019,HYSTERESIS,40,0.0,0.7142857142857143,2.0,1.0,2.314890336379307,0.98060112789009,-10.325,-0.05
D2_vs_C2,POST_WARMUP,2020,4,52,0.5769230769230769,0.8307692307692308,0.8461538461538461,0.4230769230769231,6.872915033301378,0.9837504517607433,-16.28846153846154,-16.173076923076923
D2_vs_C2,POST_WARMUP,2020,6,52,0.2692307692307692,0.7912087912087913,1.4615384615384615,0.7307692307692307,6.872915033301378,0.9837504517607433,-16.28846153846154,-16.173076923076923
D2_vs_C2,POST_WARMUP,2020,8,52,0.09615384615384616,0.7683760683760685,2.1538461538461537,1.0769230769230769,6.872915033301378,0.9837504517607433,-16.28846153846154,-16.134615384615383
