slice_type,slice_value,variant_id,universe_id,cost_multiplier,period_id,trade_count,triggered_trade_count,total_control_net_pnl,total_shadow_net_pnl,total_delta_net_pnl
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_QUALIFIED_STRESS_UNION_SHADOW,E2,1.0,ROBUSTNESS_2022,36,36,-8720.138879171518,-1389.2698480069016,7330.869031164618
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_DOWNSIDE_STRESS_SHADOW,E2,1.0,ROBUSTNESS_2022,33,33,-16734.74498246314,2932.1728124924557,19666.917794955596
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_QUALIFIED_STRESS_UNION_SHADOW,E2,1.0,ROBUSTNESS_2022,9,9,-5274.78584144705,80.45240787206113,5355.238249319112
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_FAILED_RECOVERY_SHADOW,E2,1.0,ROBUSTNESS_2022,6,6,-2905.169433723989,682.0180029403352,3587.187436664324
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_SELL_FLOW_IMPULSE_SHADOW,E2,1.0,ROBUSTNESS_2022,5,5,-4336.1819018614415,378.33823637022124,4714.520138231663
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,CONTROL_NO_RD37_EXIT,E2,1.0,ROBUSTNESS_2023,126,0,43814.00539705993,43814.00539705993,0.0
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_DOWNSIDE_STRESS_SHADOW,E2,1.0,ROBUSTNESS_2023,52,47,24726.55326139352,5999.2594575732755,-18727.29380382025
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_SELL_FLOW_IMPULSE_SHADOW,E2,1.0,ROBUSTNESS_2023,115,115,48003.98488494715,-5020.2352315510425,-53024.220116498174
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_FAILED_RECOVERY_SHADOW,E2,1.0,ROBUSTNESS_2023,88,88,18377.493507442006,12966.49264209522,-5411.000865346785
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_QUALIFIED_STRESS_UNION_SHADOW,E2,1.0,ROBUSTNESS_2023,101,101,43768.103153372576,-2109.357134584745,-45877.46028795732
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_DOWNSIDE_STRESS_SHADOW,E2,1.0,ROBUSTNESS_2023,74,74,19087.452135666408,4156.0515888984855,-14931.400546767929
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_FAILED_RECOVERY_SHADOW,E2,1.0,ROBUSTNESS_2023,38,38,25436.511889617934,-400.18923162768647,-25836.70112124562
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_QUALIFIED_STRESS_UNION_SHADOW,E2,1.0,ROBUSTNESS_2023,25,25,45.902243687360624,-407.98952327529446,-453.8917669626562
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_SELL_FLOW_IMPULSE_SHADOW,E2,1.0,ROBUSTNESS_2023,11,11,-4189.979487887207,-405.5445614375267,3784.4349264496814
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,CONTROL_NO_RD37_EXIT,E2,2.0,ROBUSTNESS_2022,45,0,-15661.21679979741,-15661.21679979741,0.0
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_DOWNSIDE_STRESS_SHADOW,E2,2.0,ROBUSTNESS_2022,12,10,2265.7260216608015,1741.4187683066907,-524.3072533541102
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_SELL_FLOW_IMPULSE_SHADOW,E2,2.0,ROBUSTNESS_2022,40,40,-11159.389550413802,-3948.794590007342,7210.594960406461
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_FAILED_RECOVERY_SHADOW,E2,2.0,ROBUSTNESS_2022,39,39,-12519.361844561701,2285.666020747216,14805.027865308915
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_QUALIFIED_STRESS_UNION_SHADOW,E2,2.0,ROBUSTNESS_2022,36,36,-10069.283020339,-2805.925849710219,7263.357170628781
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_DOWNSIDE_STRESS_SHADOW,E2,2.0,ROBUSTNESS_2022,33,33,-17926.94282145821,1575.8773649947284,19502.82018645294
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_QUALIFIED_STRESS_UNION_SHADOW,E2,2.0,ROBUSTNESS_2022,9,9,-5591.93377945841,-293.3917817569474,5298.541997701462
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_FAILED_RECOVERY_SHADOW,E2,2.0,ROBUSTNESS_2022,6,6,-3141.85495523571,426.2714061550858,3568.1263613907945
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_SELL_FLOW_IMPULSE_SHADOW,E2,2.0,ROBUSTNESS_2022,5,5,-4501.827249383607,170.2627468054383,4672.089996189045
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,CONTROL_NO_RD37_EXIT,E2,2.0,ROBUSTNESS_2023,126,0,36402.82707774959,36402.82707774959,0.0
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_DOWNSIDE_STRESS_SHADOW,E2,2.0,ROBUSTNESS_2023,52,47,21849.626376055094,3761.3388468785724,-18088.28752917652
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_SELL_FLOW_IMPULSE_SHADOW,E2,2.0,ROBUSTNESS_2023,115,115,40875.009758737244,-9376.603953016102,-50251.61371175334
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_FAILED_RECOVERY_SHADOW,E2,2.0,ROBUSTNESS_2023,88,88,14278.971001098791,8836.144774645412,-5442.826226453376
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_QUALIFIED_STRESS_UNION_SHADOW,E2,2.0,ROBUSTNESS_2023,101,101,37584.600902952065,-6066.536128784083,-43651.13703173616
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_DOWNSIDE_STRESS_SHADOW,E2,2.0,ROBUSTNESS_2023,74,74,14553.200701694514,871.8630831762578,-13681.337618518255
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_FAILED_RECOVERY_SHADOW,E2,2.0,ROBUSTNESS_2023,38,38,22123.85607665082,-1969.1820182154436,-24093.03809486626
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_QUALIFIED_STRESS_UNION_SHADOW,E2,2.0,ROBUSTNESS_2023,25,25,-1181.7738252024633,-1378.5772439785803,-196.8034187761168
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_SELL_FLOW_IMPULSE_SHADOW,E2,2.0,ROBUSTNESS_2023,11,11,-4472.182680987641,-818.6614533520726,3653.521227635569
